Customer_ID,Journey_ID,Marketing_Channel,Interaction_Timestamp,Conversion_Flag,Revenue_Amount
CUST_29141,JRN_100000,Google Ads,2021-02-09 00:00:00,0,0.0
CUST_29141,JRN_100000,Email,2021-02-10 00:00:00,0,0.0
CUST_29141,JRN_100000,YouTube,2021-02-15 00:00:00,0,0.0
CUST_24036,JRN_100001,Facebook,2021-01-04 00:00:00,0,0.0
CUST_24036,JRN_100001,YouTube,2021-01-07 00:00:00,0,0.0
CUST_28802,JRN_100002,YouTube,2021-06-04 00:00:00,0,0.0
CUST_28242,JRN_100003,Email,2021-10-23 00:00:00,0,0.0
CUST_28242,JRN_100003,Google Ads,2021-10-25 00:00:00,0,0.0
CUST_28242,JRN_100003,Email,2021-10-27 00:00:00,0,0.0
CUST_30376,JRN_100004,Instagram,2021-02-11 00:00:00,0,0.0
CUST_30376,JRN_100004,Google Ads,2021-02-12 00:00:00,0,0.0
CUST_30376,JRN_100004,Google Ads,2021-02-17 00:00:00,0,0.0
CUST_30376,JRN_100004,Email,2021-02-20 00:00:00,0,0.0
CUST_33158,JRN_100005,YouTube,2021-01-04 00:00:00,0,0.0
CUST_33158,JRN_100005,Facebook,2021-01-05 00:00:00,0,0.0
CUST_33158,JRN_100005,YouTube,2021-01-06 00:00:00,0,0.0
CUST_33158,JRN_100005,Google Ads,2021-01-10 00:00:00,0,0.0
CUST_25030,JRN_100006,YouTube,2021-07-03 00:00:00,1,493.46
CUST_25030,JRN_100006,Google Ads,2021-07-04 00:00:00,1,493.46
CUST_25030,JRN_100006,Facebook,2021-07-07 00:00:00,1,493.46
CUST_22818,JRN_100007,Facebook,2021-01-05 00:00:00,0,0.0
CUST_22818,JRN_100007,YouTube,2021-01-07 00:00:00,0,0.0
CUST_22818,JRN_100007,Facebook,2021-01-09 00:00:00,0,0.0
CUST_27099,JRN_100008,Website,2021-06-01 00:00:00,0,0.0
CUST_28760,JRN_100009,Facebook,2021-08-21 00:00:00,0,0.0
CUST_21534,JRN_100010,Facebook,2021-04-30 00:00:00,0,0.0
CUST_21534,JRN_100010,Email,2021-05-01 00:00:00,0,0.0
CUST_33533,JRN_100011,Instagram,2021-01-22 00:00:00,0,0.0
CUST_27363,JRN_100012,Instagram,2021-10-20 00:00:00,0,0.0
CUST_27363,JRN_100012,Facebook,2021-10-21 00:00:00,0,0.0
CUST_27363,JRN_100012,Google Ads,2021-10-24 00:00:00,0,0.0
CUST_27363,JRN_100012,Google Ads,2021-10-29 00:00:00,0,0.0
